Nome,Preço sem desconto,Preço com desconto,Desconto (porcentagem),Código EAN,Marca,Categoria
Aspirina 500mg 10 comprimidos,10.99,10.99,0,7891106004213,Bayer,Dor E Febre
"Nociclin 0,15mg + 0,03mg 21 comprimidos",11.83,5.44,54,7896004714196,Ems,Anticoncepcionais
"Etna 2,5mg + 1,5mg + 1,0mg 20 cápsulas",59.62,47.7,20,7892828001337,Gross,Mais Medicamentos
"Insulina Humalog 300UI Refil para Caneta Eli Lilly, 2un com 3ml de solução de uso subcutâneo",129.19,109.81,15,7896382703331,Eli Lilly,Diabetes
"Diprosalic 0,5mg/g + 30mg/g Pomada Dermatológica 30g",42.87,38.58,10,7891142142214,Hypera,Dor E Febre
Fentizol Óvulo 600mg 1 óvulo + 1 aplicador,86.63,72.77,16,7896658007309,Ache,Anticoncepcionais
Avide 100mg 9 cápsulas duras,52.91,49.74,6,7896658026195,Ache,Digestivo
Bravan Duo 160mg/5mg 30 comprimidos,63.51,48.9,23,7896658024955,Ache,Hipertensão
Soolantra 10mg/g Creme Dermatológico 30g,154.82,122.31,21,3499320010788,Galderma,Mais Medicamentos
Steaton 200mg 60 cápsulas moles,144.84,131.8,9,7896658028519,Ache,Digestivo
Indocid 50mg 30 cápsulas,50.79,41.65,18,7895858005962,Aspen Pharma,Dor E Febre
Dienogeste 2mg EMS 30 comprimidos,52.96,23.3,56,7896004779713,Ems,Mais Medicamentos
Levoid 112mcg 30 comprimidos,32.09,25.35,21,7896658008849,Ache,Mais Medicamentos
Salonpas Air Aerosol 80ml,47.35,39.3,17,7896227800041,Hisamitsu,Dor E Febre
Kóide D Xarope 120ml + copo medidor,49.3,41.91,15,7891317015060,Momenta,Dor E Febre
Floratil AT 250mg 6 cápsulas,47.84,35.88,25,7898040329679,Divcom Pharma,Digestivo
Espinheira Santa 380mg Herbarium 45 Cápsulas Duras,53.5,42.27,21,7896083400171,Herbarium,Digestivo
"Bart H 150mg + 12,5mg 30 comprimidos",138.26,105.08,24,7891317014308,Momenta,Hipertensão
Dorspan Composto Gotas 20ml,25.74,23.94,7,7896004706221,Ems,Anticoncepcionais
"Fluidificante e Descongestionante Nasal Rinosoro Gotas 0,9% 30ml",21.4,19.9,7,7897322702032,Rinosoro,Mais Medicamentos
Aspirina C 2 Sabor Limão comprimidos efervescentes,8.99,8.27,8,7891106000888,Bayer,Dor E Febre
"Ablok Plus 50mg + 12,5mg 60 comprimidos",90.32,69.55,23,7896112411512,Biolab Sanus,Hipertensão
Xarope Benegrip Multi Sabor Frutas Vermelhas 240ml,38.85,32.25,17,7896094905825,Hypera,Mais Medicamentos
Miosan 5mg 10 comprimidos revestidos,20.05,11.03,45,7896637023658,Apsen,Dor E Febre
Suplemento Vitamínico Vitergan Zinco 30 comprimidos revestidos,98.16,79.51,19,7896226102603,Marjan,Vitaminas
Venalot 15mg + 90mg 60 comprimidos,127.94,110.03,14,7896094922143,Takeda,Mais Medicamentos
Tanderalgin 30 comprimidos,44.25,14.6,67,7893454209920,Delta,Dor E Febre
Antialérgico Allegra 120mg 10 comprimidos revestidos,82.24,64.97,21,7891058168049,Sanofi,Alergias E Infecções
Novoprazol 20mg 56 Cápsulas,25.33,9.63,62,7898060131382,Globo,Digestivo
Antialérgico Histamin 2mg 20 comprimidos,16.87,9.95,41,7896714219301,Neo Quimica,Alergias E Infecções
Advantan 1mg/g Creme Dermatológico 15g,81.35,69.96,14,5702191025583,Leofarma,Mais Medicamentos
Sumax 50mg 2 comprimidos revestidos,25.7,22.87,11,7896094200432,Libbs,Dor E Febre
"Metrexato 2,5mg 24 comprimidos",38.64,25.12,35,7896014669028,Blau,Dor E Febre
Cerazette 75mcg 84 comprimidos revestidos,129.46,91.92,29,7897572006119,Grunenthal,Anticoncepcionais
Mesigyna 50mg/ml + 5mg/ml Solução Injetável 1 ampola com 1ml,44.79,21.5,52,7891106911337,Bayer,Anticoncepcionais
Plasil 10mg 20 comprimidos,13.43,11.82,12,7891058059149,Sanofi,Digestivo
Adesivos Salonpas Pequeno 10un,10.63,8.82,17,7896227800805,Salonpas,Dor E Febre
Gel Nasal Maxidrate 6mg/g 30g,50.28,44.75,11,7896094208407,Libbs,Mais Medicamentos
Litocit 1080mg 60 comprimidos de liberação prolongada,82.2,73.98,10,7896637022415,Apsen,Anticoncepcionais
"Trok-N 20mg/g + 0,64mg/g + 2,5mg/g Creme 30g",40.1,34.89,13,7891317445737,Eurofarma,Mais Medicamentos
Sucrafilm 200mg/m 20 flaconetes com 10ml cada,112.31,101.08,10,7894916500746,Sigma Pharma,Digestivo
Hirudoid 500 Gel 5mg/g 40g,40.78,37.11,9,7897411601543,Sankyo Pharma,Dor E Febre
Foldan 50mg/g Pomada 45g,41.88,30.57,27,7896006236009,União Química,Mais Medicamentos
Digeplus 7mg + 40mg + 50mg Aché 30 Cápsulas,53.12,44.62,16,7896658008023,Ache,Digestivo
Suplemento Alimentar Probid 15 Cápsulas,52.99,42.92,19,7896637032216,Apsen,Digestivo
Promensil 100mg 30 comprimidos revestidos,145.5,123.68,15,7898040322564,Farmoquimica,Anticoncepcionais
"Micardis HCT 80mg + 12,5mg 30 comprimidos",237.09,237.09,0,7896026304337,Boehringer,Hipertensão
"Aradois H 50mg + 12,5mg 90 comprimidos revestidos",169.68,169.68,0,7896112428015,Biolab Sanus,Hipertensão
"Solução Oftálmica Combigan 0,2% + 0,5% 10ml",229.82,179.26,22,7897316804780,Allergan,Mais Medicamentos
Parkidopa 250mg + 25mg 30 comprimidos,56.01,43.13,23,7896676410877,Cristalia,Mais Medicamentos
"Trayenta Duo 2,5mg / 1000mg 60 comprimidos revestidos",303.82,249.13,18,7896026307024,Boehringer,Diabetes
Vaslip 10mg 30 comprimidos revestidos,22.6,17.85,21,7896241293737,Avert,Colesterol e Triglicerídeos
Osteoban 150mg 3 comprimidos,144.91,120.28,17,7896658036019,Ache,Mais Medicamentos
"Moment 0,25mg/g Creme 50g",90.41,78.66,13,7896637022774,Apsen,Dor E Febre
Gel Dersani Hidrogel com Alginato 85g,103.45,74.48,28,7898087340132,Daudt,Mais Medicamentos
Solução Oftálmica Oftpred 10mg/ml 5ml,52.22,43.34,17,7896180300084,Latinofarma,Alergias E Infecções
Acertanlo 7mg + 5mg 30 comprimidos,84.93,84.93,0,7898029550339,Servier,Hipertensão
Solução Oftálmica Azopt 10mg/ml 5ml,102.51,86.11,16,7896548168745,Alcon,Mais Medicamentos
"Imunoflan 307,39mg/ml Xarope 120ml",123.27,104.78,15,7896083402625,Herbarium,Gripe E Resfriado
Tâmisa 20 75mcg + 20mcg 63 comprimidos revestidos,87.18,66.26,24,7891317465032,Eurofarma,Anticoncepcionais
Antialérgico Allegra Pediátrico 6mg/ml 150ml,87.79,73.74,16,7891058004354,Sanofi,Alergias E Infecções
Sinvastacor 10mg 30 comprimidos revestidos,27.25,6.54,76,7897595601766,Sandoz,Colesterol e Triglicerídeos
"Xalacom 50mcg/ml + 5mg/ml Solução Oftálmica 2,5ml",261.99,261.99,0,7891268107500,Pfizer,Mais Medicamentos
Inzelm 20mg 30 Comprimidos Revestidos,216.34,183.89,15,7896641812811,Takeda,Digestivo
"Vonau Flash 4mg, Sabor Menta 10 comprimidos de desintegração oral",45.56,33.71,26,7896112401599,Biolab Sanus,Digestivo
Ritmoneuran RTM Solução Oral 100ml,23.9,22.71,5,7896331703573,Hertz,Mais Medicamentos
Antiácido Droxaine 240ml,41.74,35.48,15,7896026120012,Daudt,Digestivo
Vitamina D Sof D 50.000 UI 4 cápsulas gelatinosas moles,79.15,68.86,13,7891158104138,Abbott,Vitaminas
Laxante Natural Glicerin Lactantes 6 supositórios,11.84,11.84,0,7896004702742,Ems,Digestivo
Xarope Stodal 150ml,69.9,58.02,17,7898927111106,Boiron,Mais Medicamentos
Pastilhas Benalet Sabor Mel e Limão 12un,38.54,36.61,5,7891268402025,Benalet,Dor E Febre
Fisioton 400mg 30 comprimidos revestidos,107.56,93.58,13,7896658015106,Ache,Vitaminas
Luftal 40mg 20 comprimidos,36.9,34.32,7,7896016801501,Luftal,Digestivo
Bálsamo Bengué Pomada 60g,62.13,49.7,20,7896004753621,Sigma Pharma,Mais Medicamentos
Tylenol Sinus 1g + 60mg 36 comprimidos revestidos,34.11,30.7,10,7891010246952,Tylenol,Mais Medicamentos
Coristina D Pro 8 comprimidos,21.38,17.53,18,7891142982155,Hypera,Mais Medicamentos
Analgésico Advil 400mg 16 cápsulas líquidas,45.99,37.25,19,7891045043588,Advil,Dor E Febre
"Therapsor 0,5mg/ml Solução Capilar 25ml",40.91,34.36,16,7897129300769,Theraskin,Dor E Febre
Ad-Muc 100mg Pomada Bucal 10g,44.57,41.9,6,7896112452461,Biolab Sanus,Mais Medicamentos
"Loratadina 1mg/ml, Cimed 100ml",32.19,17.06,47,7896523207704,Cimed,Alergias E Infecções
Neosaldina 10 drágeas,18.99,17.09,10,7896094922396,Neosaldina,Dor E Febre
"Esmalte Loceryl 50mg/ml 2,5ml",183.9,156.32,15,7897930776722,Galderma,Mais Medicamentos
Antialérgico Allegra 60mg 10 comprimidos revestidos,44.66,35.28,21,7891058024314,Sanofi,Alergias E Infecções
Óleo de Girassol Skinage 100ml,24.1,24.1,0,7898906846531,Dbs Ind E Com Ltda,Mais Medicamentos
Prolive 15 cápsulas,67.3,62.59,7,7896658025129,Ache,Digestivo
Oxipelle 10mg/ml Solução Tópica 20ml,55.69,55.69,0,7896862993207,Valeant Farm Do Brasil,Mais Medicamentos
Pastilhas para Garganta Strepsils Sabor Mel e Limão 16 pastilhas,26.83,23.88,11,7891035010866,Strepsils,Dor E Febre
Sal de Frutas Eno Guaraná 2 envelopes com 5g,4.39,3.69,16,7896015516970,Eno,Digestivo
Qlaira Bayer 26 comprimidos ativos + 2 comprimidos inativos,70.71,59.4,16,7891106904582,Bayer,Anticoncepcionais
Benicar 20mg 30 comprimidos revestidos,76.95,59.25,23,7897411610606,Sankyo Pharma,Hipertensão
Synthroid 75mcg 30 comprimidos,48.11,37.53,22,7896255716963,Abbott,Mais Medicamentos
Eparema Sabor Hortelã 12 flaconetes de 10ml cada,45.01,41.86,7,7896094922204,Eparema,Digestivo
Buscopan 10mg 20 drágeas,21.4,18.62,13,7896094921429,Hypera,Anticoncepcionais
"Trok 20mg/g + 0,64mg/g Creme Dermatológico 10g",19.41,16.89,13,7891317412524,Eurofarma,Mais Medicamentos
Tropinal 20 comprimidos,25.11,22.35,11,7894916208154,Sigma Pharma,Anticoncepcionais
Levoid 25mcg 30 comprimidos,17.27,13.82,20,7896658008740,Ache,Mais Medicamentos
Floratil 200mg 6 cápsulas,46.36,41.72,10,7898040329655,Divcom Pharma,Digestivo
Resfenol 20 cápsulas,21.94,16.99,23,7896331703443,Hertz,Mais Medicamentos
"Dastene 0,5mg 30 cápsulas moles",115.14,93.26,19,7896658024887,Ache,Mais Medicamentos
Xarope Expec Sabor Framboesa e Caramelo 120ml,45.99,28.31,38,7896004812168,Legrand,Mais Medicamentos
Spray Nasal Cimed 50ml,16.99,13.59,20,7896523227375,Cimed,Mais Medicamentos
Probiótico Enterogermina 10 frascos de 5ml,54.7,51.42,6,7891058016999,Sanofi,Digestivo
Atacand 8mg 30 comprimidos,166.53,166.53,0,7896206401160,Astrazeneca,Hipertensão
Atacand Comb 16mg + 5mg 30 comprimidos + 30 comprimidos de liberação prolongada,123.7,123.7,0,7896206403140,Astrazeneca,Hipertensão
"Clob - X 0,5mg/ml Emulsão Dermatológica 59ml",95.31,78.15,18,7897930775213,Galderma,Alergias E Infecções
Spirulina 380mg Bionatus 45 Cápsulas,45.9,42.23,8,7896108002175,Bionatus,Hipertensão
Apidra Solostar 100UI/ml 1 carpule com 3ml + 1 sistema de aplicação,45.32,45.32,0,7891058002985,Sanofi,Diabetes
Folifer 5mg + 150mg 30 comprimidos revestidos,76.99,71.6,7,7899824400737,Arese,Gripe E Resfriado
"Natrilix SR 1,5mg 60 comprimidos revestidos de liberação prolongada",80.06,61.65,23,7898029556812,Servier,Hipertensão
Montelair 5mg Sabor Cereja 60 comprimidos mastigáveis,114.71,91.77,20,7896658030291,Ache,Mais Medicamentos
Humalog 1000UI 1 ampola com 10ml,161.75,129.4,20,7896382700750,Eli Lilly,Diabetes
Rybelsus 14mg 30 comprimidos,0.0,1231.19,0,7897705202753,Novo Nordisk,Diabetes
Rybelsus 7mg 30 comprimidos,0.0,1231.19,0,7897705202715,Novo Nordisk,Diabetes
Allestra 30 75mcg + 30mcg 63 drágeas,86.61,65.82,24,7896658036965,Ache,Anticoncepcionais
Suplemento Alimentar de Vitamina D Inpruv D 1.000UI 30 comprimidos mastigáveis,13.99,13.29,5,7896637032469,Apsen,Vitaminas
Gaeso 20mg 28 comprimidos,85.92,73.89,14,7896658034466,Aché,Digestivo
"Trimbow 100/6/12,5 mcg 120 Doses",447.42,447.42,0,7896672203589,Chiesi Farmaceutica Ltda.,Mais Medicamentos
Ventus Spray 50mcg 60 Acionamentos 9ml,43.71,35.41,19,7891317010379,Eurofarma,Alergias E Infecções
Domperix 10mg 30 comprimidos,29.2,25.4,13,7891317455040,Eurofarma,Digestivo
Livalo 4mg 60 comprimidos revestidos,286.05,223.12,22,7896112406242,Biolab Sanus,Colesterol e Triglicerídeos
Resist 500mg 30 cápsulas,58.7,51.07,13,7896658024627,Ache,Gripe E Resfriado
"Colchis 0,5mg 30 comprimidos",78.05,32.78,58,7896637024358,Apsen,Dor E Febre
Atrovent N 20mcg/dose 10ml + 1 bocal (200 doses),39.63,33.29,16,7896026302432,Boehringer,Mais Medicamentos
"Bramicar HCT 80mg + 12,5mg 60 comprimidos",196.53,159.19,19,7894916513135,Sigma Pharma,Hipertensão
Clifemin 160mg 30 comprimidos,135.44,116.48,14,7896083402540,Herbarium,Anticoncepcionais
Creon 10.000 30 cápsulas com minimicroesferas acidorresitentes,84.33,68.31,19,7896255766777,Abbott,Digestivo
Imunoglucan DS 60 cápsulas,137.99,128.33,7,7896685303634,Hebron,Gripe E Resfriado
Ecasil 81 81mg 90 comprimidos revestidos,48.89,41.56,15,7896112416463,Avert,Dor E Febre
Suplemento Vitamínico Neutrofer Prev 60ml,78.75,78.75,0,7894916513104,Ems,Vitaminas
Suplemento Alimentar Calcitran D3 1000ui 30 comprimidos revestidos,31.75,28.58,10,7898040329525,Divcom Pharma,Mais Medicamentos
Clinfar 10mg 30 comprimidos revestidos,27.59,17.38,37,7891721003042,Merck,Colesterol e Triglicerídeos
Neblock 5mg 60 comprimidos,107.4,80.55,25,8902220116214,Torrent,Hipertensão
Epiduo 1mg/g + 25mg/g Gel 30g,135.79,115.42,15,7897930761414,Galderma,Mais Medicamentos
Neutrofer 250mg/ml Gotas 30ml,61.41,52.81,14,7894916500296,Sigma Pharma,Gripe E Resfriado
Cataflam Sport Ice Aerossol 60g,44.65,39.74,11,7896261018303,Cataflam,Dor E Febre
Labirin 24mg 60 comprimidos,112.33,54.99,51,7896637028530,Apsen,Mais Medicamentos
Loção Oleosa Dersani 200ml,91.3,81.26,11,7898087340026,Dérsani,Mais Medicamentos
Nesina Pio 25mg + 30mg 30 comprimidos revestidos,243.81,202.36,17,7896094999510,Hypera,Diabetes
"Exforge HCT 160mg + 12,5mg + 5mg 28 comprimidos revestidos",188.45,188.45,0,7896261015586,Novartis,Hipertensão
Alta D 15.000UI 4 Cápsulas Moles,55.86,46.92,16,7891317003906,Eurofarma,Vitaminas
Leite de Magnésia Phillips Original  350ml,27.5,24.2,12,7895858015695,Philips,Digestivo
"Puran T4 12,5mcg 30 comprimidos",3.61,2.6,28,7891058003555,Sanofi,Mais Medicamentos
Buscofem 400mg 20 cápsulas,52.91,42.33,20,7896094999954,Hypera,Anticoncepcionais
"Diclin 2mg + 0,035mg 63 comprimidos revestidos",56.53,42.96,24,7891721015366,Merck,Anticoncepcionais
Ésio 20mg 28 comprimidos revestidos,88.73,71.87,19,7891317123543,Eurofarma,Digestivo
Vitamina D3 Addera D3 7.000UI 30 comprimidos revestidos,153.84,135.38,12,7897322709482,Hypera,Vitaminas
Flanax 275mg 8 comprimidos,12.99,11.95,8,7891106913683,Bayer,Dor E Febre
Puran T4 175mcg 30 comprimidos,32.28,23.24,28,7897595901576,Sanofi,Mais Medicamentos
"Trok 20mg/g + 0,64mg/g Pomada Dermatológico 10g",18.87,16.61,12,7891317025533,Eurofarma,Mais Medicamentos
"Trok - N 20mg/g + 0,64mg/g + 2,5mg/g Pomada Dermatológica 10g",19.85,17.27,13,7891317412555,Eurofarma,Mais Medicamentos
Gel Arnica Montana 200mg/g Herbarium 30g,41.65,37.49,10,7896083403233,Herbarium,Dor E Febre
Regulador Intestinal Duphalac 667mg/ml Sem Sabor Artificial 200ml,57.44,48.82,15,7896255767149,Abbott,Digestivo
Neo B 100mg + 100mg + 5000mcg 60 comprimidos revestidos,158.32,125.07,21,7891317009618,Eurofarma,Dor E Febre
"Decadron 0,5mg/5ml Elixir Sabor Cereja e Menta 120ml",33.25,28.26,15,7896658003554,Ache,Dor E Febre
Flavonid 450mg + 50mg 60 comprimidos revestidos,169.23,81.23,52,7896714221847,Neo Quimica,Mais Medicamentos
Levoid 100mcg 30 comprimidos,16.69,13.35,20,7896658008825,Ache,Mais Medicamentos
Icacort 1mg/g + 10mg/g Creme Dermatológico 30g,42.73,37.6,12,5702191025644,Leofarma,Dor E Febre
Levoid 50mcg 30 comprimidos,19.37,15.5,20,7896658008764,Ache,Mais Medicamentos
Nactali 75mcg 84 comprimidos revestidos,123.59,85.28,31,7896094208124,Libbs,Anticoncepcionais
Pastilhas Vick Drops Sabor Artificial de Limão 10g,4.5,4.5,0,7896093002464,Vick,Dor E Febre
Dexfer 100mg/ml Gotas Sabor doce de Leite 30ml,54.66,45.91,16,7891317000721,Eurofarma,Gripe E Resfriado
Antialérgico Polaramine Creme 10mg/g 30g,22.49,20.47,9,7891142171191,Hypera,Alergias E Infecções
"Anoro Ellipta 62,5mcg/25mcg 30 doses de pó para inalação",371.25,371.25,0,7896015529086,Gsk,Mais Medicamentos
Flancox 400mg 10 comprimidos revestidos,28.28,12.16,57,7896637023344,Apsen,Dor E Febre
Analgésico Novalgina 50mg/ml Sabor Framboesa 100ml + Seringa Dosadora,45.66,40.18,12,7891058464073,Sanofi,Dor E Febre
Mesacol 500mg 15 supositórios,151.85,119.96,21,7896641813061,Takeda,Dor E Febre
Rosucor 20mg 30 comprimidos revestidos,69.45,50,28,8902220109520,Torrent,Colesterol e Triglicerídeos
Labirin 16mg 30 comprimidos,42.37,12.71,70,7896637022903,Apsen,Mais Medicamentos
Ibupril 400mg 10 comprimidos,24.65,10.6,57,7896112160298,Teuto,Dor E Febre
"Inpruv DK 50.000UI + 100mcg Apsen, 4 Comprimidos",110.36,68.42,38,7896637030403,Apsen,Vitaminas
Loratamed Loratadina 1mg/ml Sabor Uva 100ml,25.16,18.12,28,7896523202204,Cimed,Alergias E Infecções
"Solução Oftálmica Octifen 0,25mg/ml 5ml",35.94,29.11,19,7896006222620,União Química,Mais Medicamentos
Dews 5mg/ml Solução Oftálmica 10ml,49.3,42.89,13,7896006221012,Genom,Mais Medicamentos
Chá Vick Pyrena Sabor Camomila e Erva-Cidreira 5g,4.39,3.47,21,7501007447285,Vick,Mais Medicamentos
Cataflam 50mg 20 drágeas,51.21,43.02,16,7896261013483,Sandoz,Dor E Febre
Clenil HFA Spray 50mcg 200 doses 10ml,49.99,40.49,19,7896672202810,Chiesi Farmaceutica Ltda.,Mais Medicamentos
AtivB 1000mcg 30 comprimidos sublinguais,89.47,76.94,14,7896112403111,Biolab,Vitaminas
"Norestin 0,35mg 35 comprimidos",14.48,11,24,7896241274903,Biolab Sanus,Anticoncepcionais
Aldomet 250mg 30 comprimidos revestidos,43.09,34.04,21,7895858005917,Aspen Pharma,Hipertensão
Laxante L-Enema 130ml,19.5,19.5,0,7898133139420,Natulab,Digestivo
Ancoron 100mg 60 comprimidos revestidos,38.11,33.16,13,7896094210981,Libbs,Mais Medicamentos
"Atrovent 0,250mg/ml Gotas 20ml",29.56,24.83,16,7896026300216,Boehringer,Mais Medicamentos
Busonid Aquoso Nasal 64mcg 120 doses 6ml,35.58,29.18,18,7896181915188,Ache,Alergias E Infecções
Trombofob 200U Gel 40g,29.4,25.58,13,7896255717885,Abbott,Dor E Febre
Noripurum 100mg 30 comprimidos mastigáveis,71.12,63.3,11,7898581710547,Takeda,Gripe E Resfriado
Tandrilax Aché 15 comprimidos,17.13,14.9,13,7896658004704,Ache,Dor E Febre
"Selene 0,035mg + 2mg 63 comprimidos revestidos",70.34,53.46,24,7891317465650,Eurofarma,Anticoncepcionais
Naxotec Naproxeno 500mg 10 Comprimidos,18.15,16.15,11,7896006212690,União Química,Dor E Febre
Pepsamar Sabor Menta 10 comprimidos mastigáveis,7.05,7.05,0,7896714292137,Sanofi,Digestivo
Restaurador da Flora Intestinal Repoflor 100mg 12 cápsulas duras,56.53,37.31,34,7896004715247,Legrand,Digestivo
Oscillococcinum 30 Tubos,248.5,248.5,0,7898927111090,Boiron,Mais Medicamentos
Alginac Retard 10 comprimidos revestidos de liberação retardada,69.12,57.37,17,7891721023965,Merck,Dor E Febre
"Dutam 0,5mg + 0,4mg 30 cápsulas gelatinosas duras de liberação prolongada",116.89,91.17,22,7892953003558,Zodiac,Mais Medicamentos
Kaloba 825mg/ml Gotas 50ml,148.38,123.16,17,7896641804397,Takeda,Mais Medicamentos
Xarope Melagrião 150ml,20.9,19.65,6,7896023719899,Catarinense,Mais Medicamentos
"Oestrogel 0,6mg/g Gel 80g",78.86,67.82,14,7898948648179,Farmoquimica,Mais Medicamentos
Flancox 600mg 14 comprimidos,59.5,48.2,19,7896637031943,Apsen,Dor E Febre
Singulair 10mg 30 comprimidos,88.17,71.42,19,7897337706568,Msd,Mais Medicamentos
Micardis HCT 80mg + 25mg 30 comprimidos,237.09,237.09,0,7896026304016,Boehringer,Hipertensão
Minian 150mcg + 20mcg 63 comprimidos revestidos,109.81,77.97,29,7896094208063,Libbs,Anticoncepcionais
"Exforge HCT 160mg + 12,5mg + 10mg 28 comprimidos revestidos",221.8,221.8,0,7896261015609,Novartis,Hipertensão
Daflon 500mg FFPM 60 comprimidos revestidos,211.74,175.74,17,7898029551787,Servier,Mais Medicamentos
Bionginkgo 120mg Bionatus 30 comprimidos,60.65,52.16,14,7896108004223,Bionatus,Mais Medicamentos
Lipless 100mg 30 comprimidos,114.47,114.47,0,7896241248430,Biolab Sanus,Colesterol e Triglicerídeos
"Cor-Select 2,5mg 60 comprimidos",89.73,69.99,22,7898549755634,Biolab Sanus,Hipertensão
Hormoskin Creme Dermatológico 15g,93.39,87.79,6,7896004726724,Germed,Mais Medicamentos
Permear 300mg 20 comprimidos revestidos,164.5,131.6,20,7896226103020,Marjan,Dor E Febre
Funtyl 250mg 14 comprimidos,146.03,110.98,24,7896676410761,Cristalia,Mais Medicamentos
Cáscara Sagrada 75mg 45 Cápsulas Duras,52.79,45.4,14,7896083400164,Herbarium,Digestivo
Acetilcisteína 600mg + Imuno Katiguá 16 cápsulas,38.5,38.5,0,7898714760449,Katigua,Alergias E Infecções
"Triplixam 10mg + 2,5mg + 5mg 30 comprimidos revestidos",123.58,123.58,0,7898029550827,Servier,Hipertensão
Quenzor 100mg 30 cápsulas duras de liberação prolongada,64.88,51.26,21,7896094209299,Libbs,Hipertensão
Dacxi 20mg 28 comprimidos revestidos,39.04,30.84,21,7896112403630,Biolab,Mais Medicamentos
"Iziz 2,5mg + 1,5mg 84 Comprimidos Revestidos",126.85,126.85,0,7896094209510,Libbs,Anticoncepcionais
Acertil 10mg 60 Comprimidos Revestidos,197.7,197.7,0,7898029550254,Servier,Hipertensão
"Novanlo 2,5mg 60 comprimidos",140.22,110.77,21,7896112422150,Biolab Sanus,Hipertensão
"Vitacid 0,5mg/g Creme 25g",60.7,49.77,18,7897129300509,Igefarma,Mais Medicamentos
Floratil AT 250mg 10 cápsulas,73.82,63.49,14,7898040329693,Divcom Pharma,Digestivo
Flagass 40mg 20 comprimidos,30.63,26.65,13,7896658004001,Ache,Digestivo
Androsten UNO 280mg 15 comprimidos revestidos,195.62,168.23,14,7896083410323,Herbarium,Mais Medicamentos
Primogyna 1mg 28 drágeas,52.91,41.27,22,7891106914031,Bayer,Anticoncepcionais
Synthroid 88mcg 30 comprimidos,48.98,38.2,22,7896255700276,Abbott,Mais Medicamentos
Vasogard 100mg 60 comprimidos,84.11,63.92,24,7896181907534,Ache,Mais Medicamentos
Lisador 24 comprimidos,57.85,49.75,14,7897322707211,Hypera,Dor E Febre
Zyloric 300mg 30 comprimidos,64.35,52.77,18,7895858010331,Aspen Pharma,Mais Medicamentos
Zimiex 10mg 30 comprimidos,67.53,49.97,26,7891721201837,Merck,Colesterol e Triglicerídeos
Gyno - Icaden 10mg/g Creme Vaginal 40g + 7 aplicadores,96.57,83.05,14,7891106910163,Bayer,Anticoncepcionais
Synthroid 200mcg 30 comprimidos,71.29,56.32,21,7896255700252,Abbott,Mais Medicamentos
Advil Mulher 400mg 10 Cápsulas Líquidas,31.8,25.44,20,7891045164184,Advil,Anticoncepcionais
Mirena 52mg 1 Endoceptivo Estério + 1 Insertor,0.0,1168.43,25,7891106907507,Bayer,Mais Medicamentos
Ultibro 110mg + 50mcg 30 cápsulas com pó para inalação + 1 inalador,357.98,357.98,0,7896261018860,Novartis,Mais Medicamentos
"Pressat 2,5mg 60 comprimidos",71.7,54.49,24,7896112413677,Biolab Sanus,Hipertensão
Rosucor 10mg 60 comprimidos revestidos,76.46,55.05,28,8902220109582,Torrent,Colesterol e Triglicerídeos
Suplemento Probiótico Colidis 5ml,109.9,98.91,10,7896658027796,Ache,Digestivo
Acertil 10mg 30 comprimidos,98.86,98.86,0,7898029550247,Servier,Hipertensão
"Cordarex 2,5mg 30 comprimidos",36.15,28.56,21,7896181901631,Ache,Hipertensão
Engov 12 comprimidos,14.47,11.58,20,7896094907294,Hypera,Digestivo
Noripurum 10mg/ml Xarope 120ml,33.96,32.26,5,7898581710578,Takeda,Gripe E Resfriado
Luftal Gel Caps 125mg - 20 Cápsulas Gelatinosas,51.9,41.52,20,7896222720856,Luftal,Digestivo
Xarope Dexmine 120ml,30.72,14.9,51,7896523206714,Cimed,Alergias E Infecções
"Condroflex 1,5g + 1,2g Sabor Abacaxi 30 sachês com pó para solução oral",150.86,119.18,21,7892953003817,Zodiac,Mais Medicamentos
Euthyrox 75mcg 50 comprimidos,45.54,33.7,26,7891721014741,Merck,Mais Medicamentos
"Iumi 3mg + 0,02mg 72 comprimidos revestidos",180.62,148.11,18,7896094208674,Libbs,Anticoncepcionais
Advil 600mg 12 Horas 2 comprimidos revestidos de liberação prolongada,8.57,6.43,25,7896015592844,Advil,Dor E Febre
Xarope Bisolvon 8mg/5ml Adulto Sabor Cereja 120ml,33.81,27.39,19,7896026301367,Sanofi,Mais Medicamentos
Analgésico Tylenol Bebê 100mg/ml Sabor Frutas 15ml + Seringa Dosadora,57.61,43.21,25,7896212428861,Tylenol,Dor E Febre
Suplemento Vitamínico Combi AD 30ml + Seringa Dosadora,57.5,52.9,8,7896658029806,Ache,Vitaminas
Mercilon 150mcg + 20mcg 21 comprimidos,57.19,40.03,30,7897572000100,Grunenthal,Anticoncepcionais
Gino-Canesten Balance 7 bisnagas aplicadoras 5ml cada,83.4,73.39,12,7891106915410,Bayer,Anticoncepcionais
Xarope Fluive 120ml,33.9,8.99,73,7894164006922,Airela,Mais Medicamentos
Funchicórea Pó 3g,32.83,24.62,25,7897679601002,Melpoejo,Anticoncepcionais
Kronel Gel Ginecológico 60g 10 aplicadores,123.33,98.66,20,7896685300657,Uci Farma,Anticoncepcionais
Flogoral 5mg/g Creme Dental Sabor Menta 70g,32.73,29.78,9,7896658005312,Ache,Dor E Febre
